"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
87	3.260000050100000e-02	-2.948109446637338e-02	1.209753716683281e+00	2.324129206768346e+02	-9.411882268515120e+01	2.752853068833564e+05	9.971959077313847e+04	2.871533371804422e+02	-6.502301139205544e-02	6.101452159792436e-01	
88	2.723000012300000e-02	-2.718419978786347e-02	1.223407795433531e+00	2.235726219872935e+02	-1.014490512048548e+02	2.779521666644387e+05	1.013269769786857e+05	2.885254903717799e+02	8.007248585018166e-05	5.893350749504264e-01	
89	2.232000045500000e-02	-2.482329437156798e-02	1.239394374289262e+00	2.126838173778042e+02	-1.089749914627115e+02	2.810791701438137e+05	1.032158839417644e+05	2.901131142126333e+02	7.658543755024971e-02	5.646948962055530e-01	
90	1.789999939500000e-02	-2.241364555514381e-02	1.258195848169990e+00	1.991887957376319e+02	-1.164071880909917e+02	2.847562412282144e+05	1.054416817677152e+05	2.919405499099294e+02	1.667357088777354e-01	5.353291774174727e-01	
91	1.394999958600000e-02	-1.994492353858276e-02	1.280328454411164e+00	1.824100929396581e+02	-1.231072111876055e+02	2.890779509204040e+05	1.080661173117575e+05	2.940346390110305e+02	2.730317855556920e-01	5.000143707767242e-01	
92	1.049000024800000e-02	-1.742916196961543e-02	1.305926020053458e+00	1.614838386540852e+02	-1.280199720260202e+02	2.940503373252707e+05	1.111165286412523e+05	2.964083511318450e+02	3.965809263663195e-01	4.572026856982602e-01	
93	7.519999985000000e-03	-1.486756313872443e-02	1.334954384213691e+00	1.358150215693882e+02	-1.293278126881736e+02	2.996483526918382e+05	1.145900369515135e+05	2.990272582087175e+02	5.372665326587712e-01	4.052510858535907e-01	
94	5.040000193000000e-03	-1.226032473458219e-02	1.366257114957003e+00	1.052217761977086e+02	-1.241530277443437e+02	3.056048321720203e+05	1.183648300608023e+05	3.018009396507902e+02	6.901549122950188e-01	3.420292936370167e-01	
95	3.049999941000000e-03	-9.605565346412577e-03	1.397609080978855e+00	7.118367188013113e+01	-1.089441586756520e+02	3.114574891691738e+05	1.221594360210733e+05	3.044890298864087e+02	8.438457609924654e-01	2.661854612767681e-01	
96	1.560000004000000e-03	-6.917517506923035e-03	1.423255146677098e+00	3.817557828604359e+01	-8.125894717704298e+01	3.160825259276280e+05	1.253003404780086e+05	3.066901539047339e+02	9.710600954235197e-01	1.796786753726094e-01	
97	5.600000150000000e-04	-4.173159738460802e-03	1.443420459643608e+00	1.195690705767461e+01	-4.056895043549105e+01	3.197701442943318e+05	1.276602009891029e+05	3.081009321603040e+02	1.066640234324627e+00	8.327096144736837e-02	
98	5.999999800000000e-05	-1.375329724321098e-03	1.445309748988690e+00	7.231507646812652e-01	7.822200391843927e+00	3.199642489401755e+05	1.279771602624674e+05	3.084621507591715e+02	1.079477862324991e+00	1.543711826355593e-02	
99	0.000000000000000e+00	0.000000000000000e+00	1.438620969225478e+00	2.041463048454158e+00	4.469647430049046e+01	3.190563399500092e+05	1.273442218960166e+05	3.083636681284619e+02	1.053842306029694e+00	8.834845402864140e-02	
100	5.999999800000000e-05	1.375329724321098e-03	1.436419180496796e+00	1.109557463274965e+01	8.012812041725907e+01	3.191995458253475e+05	1.267687155619665e+05	3.074406146355182e+02	1.030532887914352e+00	1.602133208355362e-01	
101	5.600000150000000e-04	4.173159738460802e-03	1.413023582815456e+00	3.406489248514283e+01	1.264280166292244e+02	3.152163940764955e+05	1.236599229307493e+05	3.048666416472631e+02	9.046191611878968e-01	2.647333774297634e-01	
102	1.560000004000000e-03	6.917517506923035e-03	1.360221749301353e+00	7.255259830055449e+01	1.589654949668707e+02	3.050686234443563e+05	1.175379007984896e+05	3.010222243865121e+02	6.566622489017131e-01	3.693459633636763e-01	
103	3.049999941000000e-03	9.605565346412577e-03	1.314010891591390e+00	1.125731946684255e+02	1.743737558013095e+02	2.963946986301995e+05	1.120010189046094e+05	2.969295047110562e+02	4.324049514859843e-01	4.572544819728803e-01	
104	5.040000193000000e-03	1.226032473458219e-02	1.269281631494912e+00	1.491752492604816e+02	1.770320512387827e+02	2.878939651299111e+05	1.067128719982966e+05	2.928796241213124e+02	2.182220311571621e-01	5.316245821858567e-01	
105	7.519999985000000e-03	1.486756313872443e-02	1.230134989175371e+00	1.794851292260885e+02	1.714451417050259e+02	2.803854147845431e+05	1.021376476016502e+05	2.892433780299965e+02	3.291422110680798e-02	5.918156608467772e-01	
106	1.049000024800000e-02	1.742916196961543e-02	1.198236294755226e+00	2.033762367275111e+02	1.615117005985432e+02	2.742433688795200e+05	9.843948073690632e+04	2.861918019870367e+02	-1.168706076785980e-01	6.390934705354361e-01	
107	1.394999958600000e-02	1.994492353858276e-02	1.173218725888245e+00	2.219144640266958e+02	1.499039619027078e+02	2.694353060097146e+05	9.554840088139872e+04	2.837100903877216e+02	-2.339664329888300e-01	6.759997299190512e-01	
108	1.789999939500000e-02	2.241364555514381e-02	1.153892654578895e+00	2.361239937205073e+02	1.380760563977382e+02	2.657365925988735e+05	9.332643978758260e+04	2.817537047604102e+02	-3.239613072542255e-01	7.044634070126972e-01	
109	2.232000045500000e-02	2.482329437156798e-02	1.139381865976569e+00	2.471288404317501e+02	1.266799399591824e+02	2.629907367055898e+05	9.165904729150214e+04	2.802440373691508e+02	-3.914947930805271e-01	7.262706564946110e-01	
110	2.723000012300000e-02	2.718419978786347e-02	1.128668639717759e+00	2.556948064679473e+02	1.160859260996971e+02	2.609998266040857e+05	9.042669287845437e+04	2.791004488924317e+02	-4.414081694944064e-01	7.428843079999868e-01	
111	3.260000050100000e-02	2.948109446637338e-02	1.120827064727505e+00	2.624234123958940e+02	1.063351214582727e+02	2.595783837189366e+05	8.952527399465251e+04	2.782514234955054e+02	-4.779178452641455e-01	7.554547772061813e-01	
112	3.844000026600000e-02	3.171811260404538e-02	1.115273944481092e+00	2.677890412674197e+02	9.741300639479869e+01	2.586119127555184e+05	8.888327286263436e+04	2.776315559199161e+02	-5.039204657938263e-01	7.649162847336050e-01	
113	4.473999887700000e-02	3.389028465845557e-02	1.111370356441573e+00	2.721220892970879e+02	8.927677571466252e+01	2.579695528561459e+05	8.842752567659122e+04	2.771781614087770e+02	-5.223793446728975e-01	7.721021705785274e-01	
114	5.149000138000000e-02	3.599337852580232e-02	1.108623217291634e+00	2.756271955657977e+02	8.183444539836509e+01	2.575458927205729e+05	8.810486328803965e+04	2.768511025371158e+02	-5.354479628267822e-01	7.775185201304251e-01	
115	5.869000032500000e-02	3.802635805630503e-02	1.106704907681833e+00	2.784842639788933e+02	7.500227989116341e+01	2.572736824392053e+05	8.787767421968500e+04	2.766158515081196e+02	-5.446496773383241e-01	7.816047384174314e-01	
116	6.633000075800000e-02	3.998513962421356e-02	1.105304739580510e+00	2.808257032178225e+02	6.871246032040467e+01	2.570881182081791e+05	8.771100601334093e+04	2.764409681264770e+02	-5.514001484945101e-01	7.847489379807954e-01	
117	7.440000027400000e-02	4.186607976498817e-02	1.104277905048192e+00	2.827237472382909e+02	6.288849151068459e+01	2.569586762325209e+05	8.759025160608524e+04	2.763170836233818e+02	-5.562909981714972e-01	7.870784011759776e-01	
118	8.290000259900000e-02	4.366791468532204e-02	1.103641991198251e+00	2.842744248250851e+02	5.749289561709710e+01	2.568945648246751e+05	8.751422658752475e+04	2.762363254126269e+02	-5.593701978952981e-01	7.887246563077747e-01	
