"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
87, 3.260000050100000e-02, -2.948109446637338e-02, 9.971959077313847e+04, -6.502301139205544e-02, 6.101452159792436e-01
88, 2.723000012300000e-02, -2.718419978786347e-02, 1.013269769786857e+05, 8.007248585018166e-05, 5.893350749504264e-01
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.032158839417644e+05, 7.658543755024971e-02, 5.646948962055530e-01
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.054416817677152e+05, 1.667357088777354e-01, 5.353291774174727e-01
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.080661173117575e+05, 2.730317855556920e-01, 5.000143707767242e-01
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.111165286412523e+05, 3.965809263663195e-01, 4.572026856982602e-01
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.145900369515135e+05, 5.372665326587712e-01, 4.052510858535907e-01
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.183648300608023e+05, 6.901549122950188e-01, 3.420292936370167e-01
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.221594360210733e+05, 8.438457609924654e-01, 2.661854612767681e-01
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.253003404780086e+05, 9.710600954235197e-01, 1.796786753726094e-01
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.276602009891029e+05, 1.066640234324627e+00, 8.327096144736837e-02
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.279771602624674e+05, 1.079477862324991e+00, 1.543711826355593e-02
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.273442218960166e+05, 1.053842306029694e+00, 8.834845402864140e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.267687155619665e+05, 1.030532887914352e+00, 1.602133208355362e-01
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.236599229307493e+05, 9.046191611878968e-01, 2.647333774297634e-01
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.175379007984896e+05, 6.566622489017131e-01, 3.693459633636763e-01
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.120010189046094e+05, 4.324049514859843e-01, 4.572544819728803e-01
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.067128719982966e+05, 2.182220311571621e-01, 5.316245821858567e-01
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.021376476016502e+05, 3.291422110680798e-02, 5.918156608467772e-01
106, 1.049000024800000e-02, 1.742916196961543e-02, 9.843948073690632e+04, -1.168706076785980e-01, 6.390934705354361e-01
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.554840088139872e+04, -2.339664329888300e-01, 6.759997299190512e-01
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.332643978758260e+04, -3.239613072542255e-01, 7.044634070126972e-01
109, 2.232000045500000e-02, 2.482329437156798e-02, 9.165904729150214e+04, -3.914947930805271e-01, 7.262706564946110e-01
110, 2.723000012300000e-02, 2.718419978786347e-02, 9.042669287845437e+04, -4.414081694944064e-01, 7.428843079999868e-01
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.952527399465251e+04, -4.779178452641455e-01, 7.554547772061813e-01
112, 3.844000026600000e-02, 3.171811260404538e-02, 8.888327286263436e+04, -5.039204657938263e-01, 7.649162847336050e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, 8.842752567659122e+04, -5.223793446728975e-01, 7.721021705785274e-01
114, 5.149000138000000e-02, 3.599337852580232e-02, 8.810486328803965e+04, -5.354479628267822e-01, 7.775185201304251e-01
115, 5.869000032500000e-02, 3.802635805630503e-02, 8.787767421968500e+04, -5.446496773383241e-01, 7.816047384174314e-01
116, 6.633000075800000e-02, 3.998513962421356e-02, 8.771100601334093e+04, -5.514001484945101e-01, 7.847489379807954e-01
117, 7.440000027400000e-02, 4.186607976498817e-02, 8.759025160608524e+04, -5.562909981714972e-01, 7.870784011759776e-01
118, 8.290000259900000e-02, 4.366791468532204e-02, 8.751422658752475e+04, -5.593701978952981e-01, 7.887246563077747e-01
119, 9.181000292300000e-02, 4.538527151431038e-02, 8.748552007823970e+04, -5.605328819318893e-01, 7.896153943847967e-01
120, 1.011300012470000e-01, 4.701715290498424e-02, 8.751681658161405e+04, -5.592652967820143e-01, 7.897398949952116e-01
121, 1.108499988910000e-01, 4.856066993422563e-02, 8.761401676137917e+04, -5.553284510915651e-01, 7.890084257570565e-01
122, 1.209499984980000e-01, 5.001187382363489e-02, 8.778262119207098e+04, -5.484995581001773e-01, 7.873970299534244e-01
123, 1.314399987460000e-01, 5.137133628795417e-02, 8.802061228188699e+04, -5.388603352245451e-01, 7.849577810459427e-01
124, 1.422899961470000e-01, 5.263443049277360e-02, 8.831700728748375e+04, -5.268556105082541e-01, 7.817884556403564e-01
125, 1.534900069240000e-01, 5.379977779145956e-02, 8.865881611204884e+04, -5.130115147339637e-01, 7.781135596919442e-01
126, 1.650400012730000e-01, 5.486709202536137e-02, 8.902676809243145e+04, -4.981085570258407e-01, 7.739711061675213e-01
127, 1.769299954180000e-01, 5.583513598033686e-02, 8.940435396396820e+04, -4.828154030962284e-01, 7.696314284874113e-01
128, 1.891400069000000e-01, 5.670228146432130e-02, 8.977029223103877e+04, -4.679940057164245e-01, 7.651407778850374e-01
129, 2.016600072380000e-01, 5.746811193675738e-02, 9.011376497457098e+04, -4.540825171427502e-01, 7.607557025424304e-01
130, 2.144699990750000e-01, 5.813197420944613e-02, 9.042104815855448e+04, -4.416367944955679e-01, 7.564427053634785e-01
131, 2.275699973110000e-01, 5.869456802648413e-02, 9.069246187469567e+04, -4.306438732756557e-01, 7.523567402954422e-01
132, 2.409400045870000e-01, 5.915585896897953e-02, 9.092415337129889e+04, -4.212597993766131e-01, 7.483903308170370e-01
133, 2.545700073240000e-01, 5.951657836311273e-02, 9.112480304652748e+04, -4.131329953817797e-01, 7.446165989880097e-01
134, 2.684499919410000e-01, 5.977765596976551e-02, 9.129604636810774e+04, -4.061972208368094e-01, 7.408888277407767e-01
